"","Kecemasan","GM","Emosi","Aman","MATHMEAN"
"684",5,3,0.1914,-0.756,353.2095
"686",3,3,-0.5327,-1.1042,529.5678
"687",6,2,0.8634,-2.7886,386.6417
"689",4,2,-0.787,-0.756,368.1128
"691",5,3,-1.7175,0.6942,360.4641
"692",4,2,-1.4274,-0.756,432.869
"697",4,2,-0.7773,0.0518,405.5254
"698",5,2,0.5248,-0.756,393.6291
"701",3,3,-0.4555,-1.5326,310.4901
"702",2,2,-0.4994,-0.756,373.4448
"703",2,2,-0.9121,0.2852,319.9102
"705",5,2,-0.8321,1.1246,360.5947
"706",5,3,-0.2121,0.4417,317.1464
"707",4,2,-0.7531,-0.756,451.5672
"708",4,3,0.1694,-0.756,483.5795
"710",6,2,-0.4546,-0.756,440.0546
"711",4,3,2.8714,0.4836,362.7281
"714",5,3,-0.3542,-0.756,352.0501
"715",5,3,-0.0388,-0.756,398.1993
"717",4,4,-0.7232,1.1246,389.2669
"721",4,3,-0.6297,-0.756,307.0066
"724",4,2,0.4013,-0.756,481.0842
"725",4,2,-1.6586,-0.756,456.4254
"729",3,4,-0.5383,-0.756,371.6208
"730",5,4,0.2088,-1.9545,287.2968
"734",4,3,-0.0183,-0.756,297.188
"736",3,3,1.4636,-0.3481,391.0286
"740",6,2,0.372,-0.756,549.6845
"742",5,2,-0.2403,-0.756,393.7521
"743",4,3,-0.3447,1.1246,310.7984
"744",4,4,-1.0188,-0.756,367.9643
"745",4,3,-0.7232,1.1246,373.6225
"746",7,2,0.6277,-0.756,352.3505
"747",4,2,-0.2854,-0.756,391.0931
"748",2,3,0.341,-0.756,322.2886
"749",4,3,-0.1024,1.1246,396.7062
"750",4,1,0.4868,0.4836,380.4513
"755",5,3,-0.2331,1.1246,312.8118
"756",4,3,-0.1913,0.2435,329.8311
"757",4,3,-1.6168,-0.756,372.0261
"758",4,2,0.0725,-0.0323,320.1424
"759",4,3,-0.3958,-0.756,433.0731
"760",5,2,0.181,1.1246,460.2879
"761",6,1,0.7553,1.1246,510.2259
"762",2,1,0.649,-0.0918,510.742
"764",4,3,-0.0175,1.1246,354.4736
"765",2,1,-3.4482,1.1246,492.2935
"767",6,2,0.2517,-0.756,382.6832
"768",6,3,1.3368,0.3221,446.69
"770",4,3,0.9733,0.6342,425.4062
"771",4,4,-1.2507,-1.4248,384.716
"772",4,3,-0.5586,-0.756,410.8487
"773",6,4,0.5201,1.1246,339.2271
"775",4,2,-0.385,-0.756,368.4097
"777",4,3,-0.0247,-0.756,311.1783
"781",4,2,-0.1058,-0.756,345.9267
"782",8,1,2.2497,-0.756,535.9993
"783",6,1,0.1744,1.1246,394.583
"786",5,2,-0.3592,0.2852,458.7075
"787",5,3,-0.3332,-0.756,458.9188
"789",6,3,-0.2483,-0.756,450.1316
"790",4,3,-1.7183,-1.1042,447.0143
"791",4,3,0.4691,-0.756,335.1946
